event_id,event_timestamp,customer_id,product_id,event_type,quantity,unit_price,country,source,status
E000161,2026-08-17 09:47:03,C00091,P0007,purchase,3,152.10,DE,partner_api,ok
E000108,2026-08-03 01:49:30,C00083,P0043,purchase,3,105.05,US,web,processed
E000358,2026-08-19 07:52:03,C00072,P0039,purchase,5,90.95,DE,web,processed
E000188,2026-08-08 23:02:19,C00101,P0009,view,1,242.09,DE,partner_api,ok
E000137,2026-08-19 21:32:10,C00124,P0052,purchase,3,228.94,MX,partner_api,processed
E000272,2026-08-16 14:41:32,C00080,P0045,view,1,231.16,US,partner_api,processed
E000094,2026-08-01 06:41:36,C00123,P0029,view,1,74.66,MX,web,FAIL
E000183,2026-08-11 05:36:58,C00083,P0039,refund ,5,164.70,GB,partner_api,ok
E000384,2026-08-02 23:05:59,C00117,P0040,view,1,111.45,DE,web,processed
E000415,2026-08-12 10:22:20,C00007,P0021,purchase,4,71.26,DE,web,OK
E000264,2026-08-05 00:00:59,C00102,P0051,purchase,1,249.31,GB,web,failed
E000019,2026-08-07 18:59:53,C00040,P0024,purchase,5,154.20,CA,partner_api,failed
E000012,08/17/2026 09:30,C00146,P0057,purchase,1,56.69,MX,web,failed
E000405,2026-08-05 21:25:53,C00038,P0006,add_to_cart,1,214.86,CA,mobile,processed
E000393,2026-08-02 04:45:11,C00133,P0003,add_to_cart,1,59.68,GB,web,processed
E000400,2026-08-03 04:11:32,C00101,P0005,view,1,37.71,DE,partner_api,ok
E000267,2026-08-17 15:17:29,C00048,P0001,view,1,163.83,MX,mobile,failed
E000113,2026-08-14 20:31:51,,P0001,refund,2,178.90,DE,mobile,ok
E000195,2026-08-19 09:36:50,C00050,P0024,view,1,119.91,DE,mobile,processed
E000043,2026-08-10 15:19:53,C00001,P0022,view,1,72.79,CA,partner_api,processed
E000259,2026-08-19 20:10:34,C00144,P0045,view,1,71.43,MX,web,ok
E000234,2026-08-12 07:59:56,C00075,P0042,add_to_cart,1,158.66,MX,mobile,ok
E000144,2026-08-04 12:23:56,C00126,P0040,purchase,4,165.46,GB,mobile,ok
E000216,2026-08-11 02:25:22,C00091,P0040,view,1,114.55,GB,mobile,failed
E000283,2026-08-09 22:39:33,C00001,P0049,refund,1,183.33,US,mobile,processed
E000172,2026-08-13 17:08:53,C00091,P0005,view,1,168.67,GB,partner_api,ok
E000149,2026-08-14 13:29:00,C00038,P0009,purchase,3,215.31,DE,mobile,ok
E000329,2026-08-12 04:09:36,C00084,P0025,add_to_cart,1,196.58,MX,mobile,processed
E000328,2026-08-16 19:43:12,C00046,P0026,view,1,-9.99,MX,mobile,Failed
E000141,2026-08-13 18:36:20,C00057,P0042,add_to_cart,1,229.24,US,partner_api,processed
E000330,2026-08-13 19:56:12,C00140,P0012,view,1,150.10,DE,web,failed
E000163,2026-08-14 01:32:14,C00143,P0002,purchase,4,free,DE,partner_api,Processed
E000197,2026-08-02 04:29:41,C00142,P0060,purchase,4,219.16,US,partner_api,failed
E000411,2026-08-10 17:00:11,,P0018,view,1,91.72,MX,mobile,ok
E000005,2026-08-18 08:58:21,C00098,P0007,view,1,30.04,MX,mobile,failed
E000387,2026-08-07 02:46:46,C00008,P0022,purchase,1,194.00,GB,mobile,failed
E000254,2026-08-16 09:06:49,C00068,P0040,add_to_cart,1,217.58,GB,web,ok
E000397,08/17/2026 09:30,C00003,P0022,add_to_cart,1,174.90,US,partner_api,processed
E000363,2026-08-01 01:21:55,C00024,P0047,view,1,N/A,GB,partner_api,failed
E000396,2026-08-18 15:44:12,C00039,P0001,refund,1,191.32,GB,web,ok
E000171,2026-08-01 04:13:31,C00045,P0009,view,1,188.02,GB,partner_api,failed
E000004,2026-08-20 18:45:00,C00041,P0045,view,1,190.91,GB,mobile,processed
E000290,2026-08-12 06:40:03,C00098,P0051,view,1,243.21,DE,mobile,Processed
E000184,2026-08-11 06:02:06,C00130,P0042,refund,1,245.68,CA,web,ok
E000173,2026-08-11 11:05:58,C00081,P0037,view,,24.08,GB,partner_api,processed
E000143,2026-08-13 05:34:08,C00095,P0043,view,1,100.22,DE,mobile,failed
E000031,not-a-date,C00125,P0031,purchase,2,45.75,CA,mobile,ok
E000398,2026-08-17 13:09:19,C00061,P0027,purchase,1,55.27,GB,web,ok
E000020,2026-08-14 15:06:20,C00093,P0057,purchase,4,9.77,MX,web,ok
E000374,2026-08-10 08:50:39,C00056,P0006,ADD_TO_CART,1,173.21,US,web,ok
E000118,2026-08-12 03:24:55,C00089,P0022,refund,2,114.40,DE,partner_api,processed
E000129,2026-08-19 07:26:29,C00140,P0011,add_to_cart,1,225.80,US,mobile,processed
E000371,2026-08-11 20:53:04,C00023,P0047,add_to_cart,1,61.09,US,web,processed
E000140,2026-08-14 07:14:24,C00096,P0007,add_to_cart,1,206.49,CA,mobile,ok
E000082,2026-08-09 05:48:40,C00118,P0046,view,1,223.44,CA,mobile,ok
E000385,2026-08-15 23:23:47,C00004,P0046,add_to_cart,1,48.03,CA,partner_api,ok
E000309,2026-08-10 05:44:29,,P0020,view,1,143.43,US,partner_api,Failed
E000373,2026-08-14 21:18:41,C00090,P0047,add_to_cart,1,45.21,CA,partner_api,failed
E000409,2026-08-02 11:12:12,C00114,P0052,view,1,226.11,CA,web,processed
E000101,2026-08-16 23:55:55,C00060,P0060,purchase,4,22.44,MX,partner_api,failed
E000340,2026-08-08 06:10:04,C00030,P0002,add_to_cart,3.5,78.56,MX,partner_api,ok
E000328,2026-08-16 19:43:12,C00046,P0026,view,1,-9.99,MX,mobile,Failed
E000236,2026-08-08 17:47:38,C00082,P0047,add_to_cart,1,40.20,MX,mobile,ok
E000162,2026-08-11 23:20:14,C00090,P0055,view,1,212.58,DE,mobile,ok
E000127,2026-08-16 12:21:50,C00045,P0006,view,1,49.11,DE,mobile,failed
E000169,2026-08-10 18:47:07,C00125,P0034,view,1,74.40,MX,web,ok
E000306,2026-08-01 03:36:34,C00004,P0002,add_to_cart,1,140.15,DE,partner_api,processed
E000388,2026-08-17 05:01:36,C00128,P0030,view,1,158.75,DE,mobile,ok
E000227,2026-08-12 23:05:26,C00019,P0009,purchase,4,206.72,MX,partner_api,ok
E000066,2026-08-12 20:41:31,C00020,P0046,Purchase,2,72.28,MX,web,processed
E000172,2026-08-13 17:08:53,C00091,P0005,view,1,168.67,GB,partner_api,ok
E000342,2026-08-10 16:51:29,C00104,P0041,view,1,61.80,CA,web,failed
E000075,2026-08-18 01:04:34,C00090,P0015,add_to_cart,1,17.76,US,partner_api,ok
E000324,2026-08-04 03:49:17,C00127,P0010,view,1,78.78,US,web,processed
E000182,2026-08-20 11:06:05,C00099,P0030,purchase,5,150.55,DE,partner_api,failed
E000249,2026-08-14 06:46:19,C00149,P0037,refund,2,151.24,CA,partner_api,ok
E000307,2026-08-07 12:34:01,C00111,P0052,add_to_cart,1,128.04,CA,web,ok
E000390,2026-08-06 04:44:47,C00004,P0016,purchase,5,5.63,US,mobile,processed
E000380,2026-08-02 12:52:00,C00011,P0060,view,1,69.24,US,mobile,failed
E000354,2026-08-12 06:30:35,C00030,P0018,purchase,5,32.74,DE,mobile,failed
E000123,2026-08-20 09:10:21,C00137,P0025,add_to_cart,1,213.82,MX,partner_api,failed
E000207,2026-08-20 20:57:30,C00100,P0024,view,1,15.67,MX,partner_api,ok
E000128,2026-08-12 07:47:58,C00060,P0030,add_to_cart,1,147.87,MX,mobile,processed
E000110,2026-08-06 17:50:20,C00104,P0056,view,1,33.40,DE,web,failed
E000417,2026-08-03 06:41:15,C00015,P0049,refund,3,70.30,CA,partner_api,processed
E000139,2026-08-09 23:29:00,C00032,P0030,view,1,69.79,MX,partner_api,failed
E000036,2026-08-01 21:42:39,C00150,P0037,add_to_cart,1,25.09,DE,mobile,processed
E000201,2026-08-19 21:09:30,C00036,P0049,view,1,175.54,GB,mobile,Failed
E000091,2026-08-16 16:55:11,,P0047, purchase ,2,58.01,DE,partner_api,failed
E000092,2026-08-03 06:54:53,C00059,P0024,view,1,52.56,CA,mobile,ok
E000040,2026-08-19 23:20:34,C00136,,view,1,177.37,DE,mobile,failed
E000416,2026-08-18 17:11:17,C00121,P0034,purchase,1,203.12,MX,partner_api,ok
E000214,2026-08-02 21:07:46,C00111,P0039,view,1,109.00,CA,partner_api,processed
E000033,2026-08-13 15:31:42,C00056,P0004,refund,2,42.93,DE,partner_api,failed
E000029,2026-08-03 11:40:15,C00115,P0009,purchase,2,51.60,GB,web,processed
E000407,2026-08-06 16:27:06,C00036,P0008,purchase,4,29.97,US,web,ok
E000231,2026-08-13 12:49:17,C00078,P0040,view,1,35.67,DE,web,failed
E000205,2026-08-07 15:04:27,C00062,P0037,purchase,1,155.63,GB,web,failed
E000233,2026-08-15 14:19:49,C00054,P0050,view,1,146.31,DE,mobile,failed
E000034,2026-08-08 03:16:03,C00123,P0033,view,1,17.28,DE,web,ok
E000152,2026-08-18 16:54:23,C00028,P0029,add_to_cart,1,130.74,DE,web,failed
E000003,2026-08-05 12:35:45,C00140,P0027,view,1,164.22,CA,mobile,failed
E000218,2026-08-01 19:00:08,C00094,P0024,purchase,1,62.82,GB,partner_api,ok
E000353,2026-08-07 06:06:14,C00044,P0050,View,1,136.71,GB,partner_api,failed
E000263,2026-08-18 11:49:05,C00060,P0035,add_to_cart,1,164.81,US,web,processed
E000200,2026-08-09 12:45:14,C00086,P0051,refund,1,83.08,CA,web,ok
E000053,2026-08-03 15:09:24,C00112,P0001,refund,1,51.57,DE,partner_api,failed
E000262,2026-08-20 23:43:30,C00052,P0049,add_to_cart,1,121.97,MX,mobile,processed
E000057,2026-08-99 10:00:00,C00074,P0014,view,1,5.10,GB,partner_api,failed
E000192,2026-08-08 15:55:56,C00034,P0039,view,two,192.75,GB,web,ok
E000336,2026-08-06 21:18:14,C00133,P0036,view,1,130.12,DE,partner_api,failed
E000245,2026-08-09 07:40:48,,P0026,add_to_cart,1,40.35,DE,web,ok
E000345,2026-08-05 11:37:29,C00126,P0034,view,1,32.92,MX,partner_api,processed
E000288,2026-08-17 15:30:36,C00083,P0016,Purchase,3,146.48,MX,web,failed
E000073,not-a-date,C00047,P0004,view,1,217.38,MX,mobile,FAIL
E000024,2026-08-06 15:23:14,C00006,P0038,add_to_cart,1,20.69,DE,web,failed
E000067,2026-08-13 06:59:05,,P0025,view,1,38.90,CA,partner_api,ok
E000337,2026-08-09 12:19:25,C00129,P0010,view,1,118.45,MX,web,processed
E000250,2026-08-04 21:07:33,C00098,P0010,add_to_cart,1,N/A,CA,web,failed
E000090,2026-08-07 03:57:19,C00050,P0021,refund ,3,-9.99,US,partner_api,failed
E000266,2026-08-13 08:42:33,C00130,P0030,refund,1,222.87,MX,web,ok
E000349,2026-08-12 01:47:40,C00045,P0036,view,1,136.66,CA,mobile,processed
E000381,2026-08-17 05:11:32,C00109,P0045,view,1,192.94,GB,web,failed
E000046,2026-08-19 02:47:55,C00092,P0014,view,1,14.77,CA,partner_api,ok
E000115,2026-08-17 01:14:17,C00124,P0031,Purchase,1,106.80,CA,mobile,failed
E000363,2026-08-01 01:21:55,C00024,P0047,view,1,N/A,GB,partner_api,failed
E000211,2026-08-01 22:53:20,C00140,P0031,purchase,3,131.27,MX,web,failed
E000255,2026-08-07 19:01:14,C00077,P0050,view,1,235.66,MX,partner_api, processed 
E000286,2026-08-02 12:44:06,C00115,P0039,view,1,150.52,US,web,failed
E000209,2026-08-09 00:24:34,C00045,P0054,view,1,87.94,GB,partner_api,processed
E000386,2026-08-08 21:20:33,C00067,P0011,view,1,131.72,MX,web,failed
E000347,2026-08-14 23:35:37,C00081,P0008,purchase,1,169.67,CA,mobile,ok
E000181,2026-08-11 12:10:28,C00095,P0054,view,1,14.21,MX,web,failed
E000119,2026-08-08 07:44:55,C00062,P0037,add_to_cart,1,51.22,GB,web,processed
E000326,2026-08-15 00:47:12,C00035,,add_to_cart,1,117.18,US,mobile,processed
E000238,2026-08-02 03:38:18,C00108,P0016,view,1,236.62,CA,mobile,failed
E000051,2026-08-07 08:26:22,C00085,P0002,refund,3,102.92,US,mobile,ok
E000093,2026-08-03 21:07:17,C00142,P0019,purchase,1,243.70,CA,partner_api,processed
E000418,2026-08-20 02:19:54,C00061,P0038,View,1,47.56,MX,partner_api,failed
E000304,2026-08-02 16:35:52,C00106,P0009,purchase,1,192.26,CA,web,failed
E000009,2026-08-15 11:10:53,C00095,P0023,view,1,94.38,CA,partner_api,processed
E000064,2026-08-16 04:35:33,C00114,P0040,purchase,5,150.89,DE,mobile,failed
E000186,2026-08-16 10:46:38,C00086,P0005,purchase,1,198.36,MX,web,failed
E000256,2026-08-12 03:03:20,C00144,P0060,add_to_cart,1,122.55,MX,mobile,ok
E000310,2026-08-03 03:03:25,C00122,P0004,purchase,4,97.41,US,partner_api,ok
E000317,2026-08-08 10:14:01,C00126,P0015,refund,2,196.97,MX,partner_api,processed
E000008,2026-08-06 04:27:49,C00021,P0055,view,1,75.90,CA,web,processed
E000146,2026-08-15 16:09:22,C00071,P0013,view,1,19.83,US,mobile,ok
E000316,2026-08-02 05:19:06,C00088,P0039,refund,1,61.88,DE,partner_api,processed
E000206,2026-08-12 21:53:23,C00135,P0035,add_to_cart,1,21.58,DE,partner_api,failed
E000237,2026-08-12 17:14:35,C00120,P0008,purchase,1,83.18,MX,mobile,ok
E000130,2026-08-07 19:22:40,C00078,P0013,refund,2,174.13,GB,mobile,ok
E000261,2026-08-17 07:46:30,C00036,P0001,view,1,29.63,DE,web,processed
E000017,2026-08-13 05:15:48,C00088,P0008,view,1,70.37,MX,mobile, processed 
E000367,2026-08-10 17:38:12,C00034,P0057,add_to_cart,1,248.95,MX,web,processed
E000108,2026-08-03 01:49:30,C00083,P0043,purchase,3,105.05,US,web,processed
E000015,2026-08-20 14:16:07,C00109,P0039,purchase,2,158.72,US,mobile,processed
E000351,2026-08-19 13:12:24,C00130,P0042,view,1,241.14,GB,mobile,failed
E000273,2026-08-06 00:36:14,C00123,P0010,view,1,239.55,GB,partner_api,failed
E000410,2026-08-11 11:45:03,C00147,P0028,view,1,46.16,GB,mobile,ok
E000323,2026-08-17 11:51:57,C00063,P0037,purchase,5,226.78,DE,web,failed
E000105,2026-08-01 21:46:56,C00083,P0039,view,1,110.85,MX,web,ok
E000257,2026-08-13 08:39:24,C00102,P0053,add_to_cart,1,224.46,MX,web,processed
E000291,2026-08-04 09:29:19,C00138,P0031,view,1,97.23,CA,web,OK
E000049,2026-08-03 11:02:24,C00057,P0013,purchase,1,215.36,GB,mobile,processed
E000320,2026-08-01 02:50:19,C00070,P0007,view,1,113.96,CA,web,ok
E000166,2026-13-04 12:10:00,C00041,P0024,add_to_cart,0,116.14,MX,partner_api,processed
E000155,2026-08-04 09:00:04,C00150,P0036,view,3.5,35.92,MX,mobile,failed
E000107,2026-08-04 23:40:30,C00072,P0012,purchase,5,164.62,DE,mobile,failed
E000187,2026-08-07 11:10:16,C00039,P0022,add_to_cart,0,182.31,US,partner_api,failed
E000220,2026-08-10 01:22:20,C00064,P0008,add_to_cart,1,164.14,US,partner_api,ok
E000392,2026-08-17 09:22:20,C00020,P0037,view,1,71.46,MX,web,failed
E000269,2026-08-16 05:30:06,C00036,P0031,view,1,50.27,MX,web,ok
E000114,2026-08-20 03:31:58,C00031,P0042,view,1,32.80,CA,mobile,FAIL
E000222,2026-08-14 22:09:18,C00126,P0013,view,1,175.03,US,web,ok
E000260,2026-08-14 08:29:15,C00136,P0015,add_to_cart,1,64.40,CA,web,ok
E000271,2026-08-15 20:59:23,C00016,P0043,view,1,174.73,US,mobile,processed
E000059,2026-08-07 10:59:32,C00086,P0006,add_to_cart,1,167.64,CA,partner_api,processed
E000360,2026-08-03 21:17:44,C00083,P0054,purchase,2,66.17,CA,partner_api, processed 
E000395,2026-08-18 20:26:19,C00063,P0030,view,1,186.20,MX,partner_api,Processed
E000179,2026-08-11 05:09:43,C00083,P0056,purchase,5,162.53,MX,web,processed
E000126,2026-08-02 01:07:20,C00096,P0028,purchase,1,76.88,CA,web,failed
E000072,2026-08-03 21:42:39,C00101,P0038,purchase,5,11.61,DE,partner_api,ok
E000080,2026-08-16 20:45:49,C00031,P0051,view,1,78.89,DE,web,processed
E000378,2026-08-06 11:39:31,C00019,P0034,view,1,161.33,US,mobile,processed
E000300,2026-08-17 20:49:09,C00150,P0038,purchase,1,68.89,GB,mobile,ok
E000370,2026-08-06 03:31:33,C00003,P0001,view,1,171.60,MX,web,processed
E000087,2026-08-17 09:15:26,C00062,P0045,view,1,124.70,GB,partner_api,failed
E000006,2026-08-01 23:43:46,C00032,P0060,view,1,117.56,GB,web,failed
E000322,2026-08-14 14:36:50,C00099,P0001,view,1,84.49,MX,mobile,processed
E000069,2026-08-14 06:59:44,C00148,P0025,purchase,1,214.90,GB,web,processed
E000241,2026-08-12 06:16:38,C00121,P0019,view,1,221.17,DE,web,ok
E000191,2026-08-04 03:07:09,C00026,P0033,view,1,23.91,DE,partner_api,failed
E000013,2026-08-15 15:04:29,C00036,P0016,add_to_cart,1,40.00,DE,partner_api,processed
E000061,2026-08-15 07:56:36,C00099,P0032,view,1,52.64,GB,web,ok
E000346,2026-08-14 08:34:07,C00118,P0040,add_to_cart,1,90.24,CA,partner_api,failed
E000379,2026-08-20 14:07:53,C00094,P0035,view,1,144.25,CA,mobile,ok
E000331,2026-08-17 02:51:13,C00075,P0054,add_to_cart,1,112.42,US,mobile,failed
E000228,2026-08-16 11:25:33,C00142,P0041,view,1,89.41,DE,web,ok
E000102,2026-08-05 12:02:27,C00058,P0042,add_to_cart,1,33.12,CA,mobile,ok
E000240,2026-08-09 22:45:32,C00062,P0014,view,1,117.02,DE,mobile,ok
E000344,2026-08-05 21:18:13,C00017,P0037,view,1,73.19,US,partner_api,ok
E000178,2026-08-04 11:29:48,C00020,,view,1,190.99,GB,mobile,failed
E000175,2026-08-03 00:07:27,,P0034,purchase,1,64.61,US,mobile,processed
E000332,2026-08-15 09:53:19,C00040,P0046,add_to_cart,1,64.30,GB,mobile,ok
E000159,2026-08-19 22:15:05,C00025,P0048,view,1,27.84,MX,web,failed
E000037,2026-08-17 07:08:20,C00102,P0009,view,1,63.48,MX,mobile,processed
E000298,2026-08-09 04:12:19,C00132,P0057,add_to_cart,1,69.08,GB,mobile,ok
E000071,2026-08-07 05:03:27,C00100,P0022,add_to_cart,1,123.98,GB,partner_api,ok
E000270,,,P0020,view,1,189.67,DE,partner_api,failed
E000010,2026-08-16 13:18:41,C00044,P0035,purchase,1,154.24,CA,web,processed
E000362,2026-08-18 11:54:05,C00072,P0045,purchase,4,131.33,MX,mobile,processed
E000156,2026-08-11 07:47:32,C00026,P0051,add_to_cart,1,153.33,US,partner_api,failed
E000147,2026-08-15 14:27:40,C00006,P0004,add_to_cart,1,151.30,MX,web,ok
E000125,2026-08-03 05:45:48,C00026,P0029,view,1,160.27,CA,partner_api,processed
E000168,2026-08-11 01:59:42,C00114,P0027,view,1,108.88,MX,web,failed
E000408,2026-08-19 17:50:25,C00022,P0038,view,1,96.20,DE,mobile,ok
E000068,2026-08-10 06:36:21,C00107,P0004,view,1,137.94,CA,mobile,processed
E000341,2026-08-04 17:45:59,C00063,P0034, purchase ,1,246.06,CA,partner_api,ok
E000344,2026-08-05 21:18:13,C00017,P0037,view,1,73.19,US,partner_api,ok
E000303,2026-08-17 09:23:34,C00139,P0042,view,1,124.64,US,partner_api,ok
E000318,2026-08-16 11:12:37,C00022,P0050,view,1,166.86,DE,mobile,ok
E000314,2026-08-17 05:14:52,C00077,P0011,purchase,4,232.57,DE,web, processed 
E000276,2026-08-19 20:37:35,C00052,P0037,view,1,226.21,DE,web,ok
E000074,2026-08-08 10:30:21,C00098,P0018,view,1,191.50,GB,mobile,ok
E000359,2026-08-07 15:49:18,C00025,P0009,refund,3,70.50,GB,web,processed
E000313,2026-08-13 08:34:36,C00081,P0002,purchase,1,48.94,CA,partner_api,ok
E000055,2026-08-03 20:03:46,C00130,P0020,add_to_cart,1,225.51,GB,mobile,processed
E000374,2026-08-10 08:50:39,C00056,P0006,ADD_TO_CART,1,173.21,US,web,ok
E000274,2026-08-16 23:21:35,C00138,P0052,view,1,228.64,CA,web,failed
E000077,2026-08-05 23:02:29,C00095,P0011,add_to_cart,1,176.37,DE,partner_api,failed
E000213,2026-08-17 21:56:28,C00048,P0032,purchase,4,88.06,GB,mobile,failed
E000058,2026-08-11 13:56:28,C00055,P0033,add_to_cart,1,113.33,GB,partner_api,ok
E000299,2026-08-17 10:32:30,C00095,P0021,purchase,3,229.01,GB,web,failed
E000007,2026-08-15 07:19:39,C00093,P0037,view,1,221.94,CA,partner_api,ok
E000235,2026-08-16 14:05:25,C00016,P0011,purchase,3,116.12,GB,mobile,processed
E000142,2026-08-07 21:02:41,C00012,P0003,purchase,4,33.59,MX,mobile,ok
E000167,2026-08-13 21:58:38,C00040,P0011,purchase,1,221.42,DE,web,failed
E000333,2026-08-14 14:33:30,C00137,P0033,view,1,,GB,partner_api,ok
E000301,,C00063,P0032,view,-1,144.60,DE,partner_api,failed
E000350,2026-08-08 03:48:53,C00014,P0056,view,1,115.50,MX,web,processed
E000355,2026-08-01 22:43:48,C00109,P0007,purchase,4,138.86,CA,mobile,ok
E000399,2026-08-03 02:48:02,C00134,P0027,purchase,2,224.84,MX,mobile,failed
E000133,2026-08-07 12:18:49,C00091,P0015,purchase,2,153.73,CA,partner_api,processed
E000287,2026-08-10 23:43:14,C00015,P0009,view,1,137.24,DE,mobile,ok
E000104,2026-08-07 22:04:44,,P0033,add_to_cart,1,103.61,DE,mobile,processed
E000377,2026-08-14 19:27:32,C00101,P0019,view,1,51.22,US,web,processed
E000292,2026-08-04 06:50:51,C00144,P0027,purchase,4,229.11,GB,partner_api,failed
E000217,2026-08-02 07:19:04,C00041,P0002,refund,3,94.01,CA,partner_api,failed
E000022,2026-08-11 19:34:35,C00136,P0056,view,1,45.46,DE,mobile,ok
E000065,2026-08-04 14:55:47,C00116,P0017,view,1,216.07,CA,partner_api,processed
E000099,2026-08-03 06:11:48,C00021,P0011,refund,2,158.25,CA,web,failed
E000109,2026-08-12 06:35:18,C00103,P0053,view,1,167.33,DE,web,processed
E000420,2026-08-20 00:56:51,C00045,P0032,purchase,4,137.82,US,web,ok
E000089,2026-08-11 18:27:35,C00109,P0048,add_to_cart,1,135.08,DE,mobile,processed
E000230,2026-08-17 03:23:14,C00133,P0058,view,1,89.78,MX,web,processed
E000062,2026-08-01 03:01:57,C00028,P0050,add_to_cart,1,188.99,GB,web,ok
E000076,2026-08-99 10:00:00,C00062,P0009,purchase,1,157.23,GB,partner_api,ok
E000265,2026-08-07 14:05:56,C00028,P0060,refund,3,7.27,MX,mobile,processed
E000258,2026-08-17 06:00:05,C00114,P0042,view,1,89.86,MX,partner_api,processed
E000402,2026-08-11 07:15:17,C00052,P0009,view,1,62.23,DE,web,ok
E000203,2026-08-07 13:20:15,C00013,P0016,view,0,78.78,GB,partner_api,failed
E000041,2026-08-20 23:34:08,C00028,P0048,view,1,69.79,DE,web,processed
E000154,2026-08-11 21:35:54,C00028,P0032,view,1,103.40,GB,web,ok
E000297,2026-08-05 15:41:25,C00142,P0021,add_to_cart,1,229.21,MX,mobile,processed
E000121,2026-08-14 10:19:21,C00113,P0007,view,1,218.08,DE,mobile,ok
E000294,2026-08-19 20:57:12,C00097,P0044,add_to_cart,1,17.63,DE,partner_api,FAIL
E000244,2026-08-15 04:22:43,C00033,P0007,view,1,154.71,GB,mobile,processed
E000275,2026-08-20 20:50:50,C00136,P0046,purchase,1,133.75,MX,web,failed
E000046,2026-08-19 02:47:55,C00092,P0014,view,1,14.77,CA,partner_api,ok
E000268,2026-08-05 09:29:11,C00104,P0053,add_to_cart,1,154.68,GB,partner_api,processed
E000348,2026-08-16 18:42:09,C00108,P0039,view,1,130.15,CA,partner_api,processed
E000312,2026-08-20 18:06:44,C00122,P0018,view,1,222.45,US,web,failed
E000368,2026-08-09 04:50:16,,P0004,view,1,25.19,GB,partner_api,processed
E000117,2026-08-18 22:11:32,C00001,P0019,view,1,70.46,MX,partner_api,failed
E000302,2026-08-18 08:53:52,C00126,P0030,ADD_TO_CART,1,124.71,CA,partner_api,processed
E000419,2026-08-14 11:04:01,C00091,P0037,view,1,177.35,DE,web,failed
E000278,2026-08-11 03:17:51,C00132,P0027,purchase,1,116.09,GB,partner_api,ok
E000177,2026-08-19 15:15:41,C00061,P0007,view,1,204.68,CA,mobile,ok
E000044,2026-08-11 01:18:35,C00144,P0001,view,1,177.89,US,web,failed
E000343,2026-08-10 00:02:01,C00051,P0029,add_to_cart,1,185.66,DE,mobile,processed
E000078,2026-08-18 16:46:52,C00028,P0038,purchase,2,241.36,US,mobile,failed
E000032,2026-08-01 01:10:24,C00117,P0019,view,1,69.97,GB,partner_api,failed
E000289,2026-08-10 09:51:19,C00143,P0038,add_to_cart,1,72.41,CA,partner_api,failed
E000138,2026-08-11 15:46:04,C00058,P0056,purchase,2,189.77,GB,partner_api,processed
E000406,2026-08-16 09:49:19,C00045,P0002,add_to_cart,1,free,GB,mobile,failed
E000319,2026-08-02 20:48:17,C00040,P0048,purchase,2,98.10,GB,mobile,processed
